player,salary
"Erik Karlsson, D, SJS","$12,000,000"
"Drew Doughty, D, LAK","$11,000,000"
"Seth Jones, D, CHI","$10,000,000"
"Charlie McAvoy, D, BOS","$9,250,000"
"Adam Fox, D, NYR","$11,000,000"
"Darnell Nurse, D, EDM","$12,000,000"
"Roman Josi, D, NSH","$9,750,000"
"Cale Makar, D, COL","$9,000,000"
"Dougie Hamilton, D, NJD","$6,300,000"
"Alex Pietrangelo, D, VGK","$8,000,000"
"Miro Heiskanen, D, DAL","$7,000,000"
"Oliver Ekman-Larsson, D, VAN","$10,500,000"
"John Carlson, D, WSH","$6,000,000"
"Jacob Trouba, D, NYR","$6,000,000"
"Brent Burns, D, CAR","$6,500,000"
"Thomas Chabot, D, OTT","$4,000,000"
"Victor Hedman, D, TBL","$8,000,000"
"Quinn Hughes, D, VAN","$6,500,000"
"Jared Spurgeon, D, MIN","$6,000,000"
"Morgan Rielly, D, TOR","$8,000,000"
"Aaron Ekblad, D, FLA","$6,000,000"
"John Klingberg, D, MIN","$7,000,000"
"Ryan McDonagh, D, NSH","$5,460,000"
"Ivan Provorov, D, PHI","$4,750,000"
"Torey Krug, D, STL","$8,000,000"
"Cam Fowler, D, ANA","$4,750,000"
"Colton Parayko, D, STL","$7,250,000"
"Hampus Lindholm, D, BOS","$7,250,000"
"Justin Faulk, D, STL","$5,850,000"
"Jeff Petry, D, PIT","$7,500,000"
"Mattias Ekholm, D, EDM","$5,500,000"
"Ryan Pulock, D, NYI","$6,150,000"
"Kris Letang, D, PIT","$8,000,000"
"Matt Dumba, D, MIN","$5,200,000"
"Rasmus Dahlin, D, BUF","$5,800,000"
"Jonas Brodin, D, MIN","$5,000,000"
"Erik Johnson, D, COL","$6,000,000"
"Tyler Myers, D, VAN","$5,000,000"
"Nate Schmidt, D, WPG","$5,000,000"
"Neal Pionk, D, WPG","$6,500,000"
"Esa Lindell, D, DAL","$6,000,000"
"Adam Pelech, D, NYI","$5,750,000"
"Jake Muzzin, D, TOR","$4,000,000"
"Jaccob Slavin, D, CAR","$5,500,000"
"Brady Skjei, D, CAR","$5,400,000"
"Alec Martinez, D, VGK","$5,750,000"
"Shea Theodore, D, VGK","$5,200,000"
"Rasmus Ristolainen, D, PHI","$4,000,000"
"Dmitry Orlov, D, BOS","$3,300,000"
"Samuel Girard, D, COL","$5,000,000"
"TJ Brodie, D, TOR","$5,000,000"
"Noah Hanifin, D, CGY","$4,950,000"
"Mikhail Sergachev, D, TBL","$7,200,000"
"Ben Chiarot, D, DET","$4,250,000"
"Travis Sanheim, D, PHI","$5,350,000"
"Jakob Chychrun, D, OTT","$4,000,000"
"Rasmus Andersson, D, CGY","$4,550,000"
"Josh Manson, D, COL","$5,500,000"
"Shayne Gostisbehere, D, CAR","$3,250,000"
"Nikita Zaitsev, D, CHI","$4,500,000"
"Tyson Barrie, D, NSH","$4,500,000"
"Filip Hronek, D, VAN","$4,500,000"
"Connor Murphy, D, CHI","$3,000,000"
"John Marino, D, NJD","$3,500,000"
"Damon Severson, D, NJD","$5,100,000"
"Devon Toews, D, COL","$4,600,000"
"Brian Dumoulin, D, PIT","$4,100,000"
"Brandon Carlo, D, BOS","$3,500,000"
"Marcus Pettersson, D, PIT","$4,025,175"
"Brett Pesce, D, CAR","$4,025,000"
"Nick Leddy, D, STL","$5,000,000"
"Noah Dobson, D, NYI","$4,000,000"
"Jake McCabe, D, TOR","$4,000,000"
"Erik Gudbranson, D, CBJ","$5,000,000"
"Brenden Dillon, D, WPG","$5,500,000"
"Kevin Shattenkirk, D, ANA","$4,950,000"
"Nikita Zadorov, D, CGY","$3,750,000"
"Matt Grzelcyk, D, BOS","$4,250,000"
"Ryan Suter, D, DAL","$4,000,000"
"Joel Edmundson, D, MTL","$4,562,500"
"David Savard, D, MTL","$4,200,000"
"Brandon Montour, D, FLA","$3,500,000"
"Marco Scandella, D, STL","$3,850,000"
"MacKenzie Weegar, D, CGY","$4,750,000"
"Cody Ceci, D, EDM","$3,000,000"
"Mario Ferraro, D, SJS","$3,250,000"
"Ryan Graves, D, NJD","$4,000,000"
"Matt Roy, D, LAK","$3,250,000"
"Dylan DeMelo, D, WPG","$3,000,000"
"Derek Forbort, D, BOS","$3,500,000"
"Travis Hamonic, D, OTT","$3,250,000"
"Ian Cole, D, TBL","$3,000,000"
"Mike Reilly, D, BOS","$3,000,000"
"Ryan Lindgren, D, NYR","$3,000,000"
"Erik Cernak, D, TBL","$4,425,000"
"Brayden McNabb, D, VGK","$3,600,000"
"Vladislav Gavrikov, D, LAK","$4,200,000"
"Zach Whitecloud, D, VGK","$3,000,000"
"Jan Rutta, D, PIT","$3,250,000"
"Ilya Lyubushkin, D, BUF","$2,750,000"
"Brett Kulak, D, EDM","$3,250,000"
"Gustav Forsling, D, FLA","$2,500,000"
"Sean Walker, D, LAK","$3,000,000"
"Adam Boqvist, D, CBJ","$2,000,000"
"Philippe Myers, D, TBL","$3,800,000"
"Radko Gudas, D, FLA","$2,500,000"
"Alexander Romanov, D, NYI","$2,500,000"
"Nick Jensen, D, WSH","$2,000,000"
"Patrik Nemeth, D, ARI","$2,500,000"
"Tucker Poolman, D, VAN","$2,250,000"
"Artem Zub, D, OTT","$3,250,000"
"Henri Jokiharju, D, BUF","$2,500,000"
"Dante Fabbro, D, NSH","$2,400,000"
"Jake Bean, D, CBJ","$2,200,000"
"Nicolas Hague, D, VGK","$2,700,000"
"Radim Simek, D, SJS","$2,150,000"
"Dmitry Kulikov, D, PIT","$2,250,000"
"Ethan Bear, D, VAN","$2,200,000"
"Akito Hirose, D, VAN","$950,000"
"Jake Livingstone, D, NSH","$925,000"
"Alex Goligoski, D, MIN","$2,000,000"
"Justin Holl, D, TOR","$2,000,000"
"Niko Mikkola, D, NYR","$1,900,000"
"Colin Miller, D, DAL","$2,000,000"
"Jacob Bryson, D, BUF","$1,800,000"
"Sean Durzi, D, LAK","$1,400,000"
"Travis Dermott, D, VAN","$1,750,000"
"Scott Mayfield, D, NYI","$2,000,000"
"Timothy Liljegren, D, TOR","$1,300,000"
"Rasmus Sandin, D, WSH","$1,200,000"
"Riley Stillman, D, BUF","$1,350,000"
"Caleb Jones, D, CHI","$1,350,000"
"Jordan Oesterle, D, DET","$1,450,000"
"Nick Holden, D, OTT","$1,300,000"
"Troy Stecher, D, CGY","$1,250,000"
"Jon Merrill, D, MIN","$1,200,000"
"Jakub Zboril, D, BOS","$975,000"
"Jonas Siegenthaler, D, NJD","$1,200,000"
"Brendan Smith, D, NJD","$1,000,000"
"Jake Walman, D, DET","$1,050,000"
"Connor Clifton, D, BOS","$1,000,000"
"Justin Braun, D, PHI","$1,000,000"
"Kurtis MacDermid, D, COL","$975,000"
"Jack Johnson, D, COL","$950,000"
"Robert Bortuzzo, D, STL","$950,000"
"David Jiricek, D, CBJ","$950,000"
"Trevor van Riemsdyk, D, WSH","$1,000,000"
"Jacob Bernard-Docker, D, OTT","$925,000"
"Braden Schneider, D, NYR","$925,000"
"Marcus Bjork, D, CBJ","$925,000"
"Justin Barron, D, MTL","$925,000"
"Nils Lundkvist, D, DAL","$925,000"
"Mattias Samuelsson, D, BUF","$925,000"
"Jamie Drysdale, D, ANA","$925,000"
"Filip Roos, D, CHI","$925,000"
"Luke Hughes, D, NJD","$925,000"
"Tim Berni, D, CBJ","$925,000"
"Spencer Stastney, D, NSH","$925,000"
"Brock Faber, D, MIN","$925,000"
"K'Andre Miller, D, NYR","$925,000"
"Michael Kesselring, D, ARI","$925,000"
"Jackson LaCombe, D, ANA","$925,000"
"Simon Edvinsson, D, DET","$925,000"
"Dylan Samberg, D, WPG","$925,000"
"Ian Mitchell, D, CHI","$925,000"
"Cole McWard, D, VAN","$950,000"
"Tyler Kleven, D, OTT","$900,000"
"Owen Power, D, BUF","$925,000"
"Wyatt Kaiser, D, CHI","$900,000"
"Alex Vlasic, D, CHI","$925,000"
"Henry Thrun, D, SJS","$900,000"
"Connor Mackey, D, ARI","$925,000"
"Jarred Tinordi, D, CHI","$950,000"
"Logan Stanley, D, WPG","$1,000,000"
"Mark Borowiecki, D, NSH","$900,000"
"Bowen Byram, D, COL","$832,500"
"Brandt Clarke, D, LAK","$925,000"
"J.J. Moser, D, ARI","$892,500"
"Matthew Kessel, D, STL","$842,500"
"Ronnie Attard, D, PHI","$925,000"
"Adam Ginning, D, PHI","$842,500"
"Cam York, D, PHI","$925,000"
"Alec Regula, D, CHI","$832,500"
"Alexander Alexeyev, D, WSH","$832,500"
"Moritz Seider, D, DET","$832,500"
"Kaiden Guhle, D, MTL","$925,000"
"Ty Smith, D, PIT","$832,500"
"Ville Heinola, D, WPG","$832,500"
"Lassi Thomson, D, OTT","$832,500"
"Philip Broberg, D, EDM","$832,500"
"Thomas Harley, D, DAL","$832,500"
"Evan Bouchard, D, EDM","$832,500"
"Isaak Phillips, D, CHI","$842,500"
"Jack Rathbone, D, VAN","$750,000"
"Nikolai Knyzhov, D, SJS","$850,000"
"Nathan Beaulieu, D, ANA","$850,000"
"Zach Bogosian, D, TBL","$750,000"
"Luke Schenn, D, TOR","$900,000"
"Cal Foote, D, NSH","$950,000"
"Conor Timmins, D, TOR","$950,000"
"Urho Vaakanainen, D, ANA","$800,000"
"Ben Hutton, D, VGK","$800,000"
"Stanislav Svozil, D, CBJ","$842,500"
"Samuel Knazko, D, CBJ","$842,500"
"Vincent Iorio, D, WSH","$867,500"
"Jordan Harris, D, MTL","$842,500"
"Samuel Bolduc, D, NYI","$892,500"
"Nick Perbix, D, TBL","$842,500"
"Nick Cicek, D, SJS","$822,500"
"Arber Xhekaj, D, MTL","$820,000"
"Sebastian Aho, D, NYI","$800,000"
"Pierre-Olivier Joseph, D, PIT","$800,000"
"Nick Blankenburg, D, CBJ","$800,000"
"Jordan Spence, D, LAK","$842,500"
"Tyler Tucker, D, STL","$825,000"
"Robin Salo, D, NYI","$750,000"
"Erik Gustafsson, D, TOR","$800,000"
"Mark Giordano, D, TOR","$800,000"
"Lucas Carlsson, D, FLA","$800,000"
"Chad Ruhwedel, D, PIT","$800,000"
"Calen Addison, D, MIN","$750,000"
"Kevin Bahl, D, NJD","$750,000"
"Vladislav Kolyachonok, D, ARI","$750,000"
"Kaedan Korczak, D, VGK","$750,000"
"Andrew Peeke, D, CBJ","$825,000"
"Nick Seeler, D, PHI","$750,000"
"Mark Friedman, D, PIT","$750,000"
"Dmitri Samorukov, D, STL","$775,000"
"Johnathan Kovacevic, D, MTL","$750,000"
"Jalen Chatfield, D, CAR","$750,000"
"Billy Sweezey, D, CBJ","$750,000"
"Daniil Miromanov, D, VGK","$750,000"
"Nick DeSimone, D, CGY","$750,000"
"Haydn Fleury, D, TBL","$750,000"
"Colton White, D, ANA","$750,000"
"Chris Wideman, D, MTL","$750,000"
"Dillon Heatherington, D, OTT","$750,000"
"Vincent Desharnais, D, EDM","$750,000"
"Jacob Moverare, D, LAK","$750,000"
"Jordan Gross, D, NSH","$750,000"
"Brad Hunt, D, COL","$750,000"
"Taylor Fedun, D, PIT","$750,000"
"Matt Kiersted, D, FLA","$750,000"
"Roland McKeown, D, NSH","$750,000"
"Jacob MacDonald, D, SJS","$750,000"
"Dennis Gilbert, D, CGY","$750,000"
"Kevin Gravel, D, NSH","$750,000"
"Dennis Cholowski, D, NYI","$750,000"
"Dylan Coghlan, D, CAR","$775,000"
"Darren Raddysh, D, TBL","$750,000"
"Kyle Capobianco, D, WPG","$750,000"
"Scott Harrington, D, ANA","$750,000"
"Derrick Pouliot, D, SJS","$750,000"
"Jeremy Davies, D, BUF","$750,000"
"Guillaume Brisebois, D, VAN","$750,000"
"Michael Stone, D, CGY","$750,000"
"Steven Santini, D, STL","$750,000"
"Dylan McIlrath, D, WSH","$750,000"
"Gavin Bayreuther, D, CBJ","$750,000"
"Noah Juulsen, D, VAN","$750,000"
"Marc Staal, D, FLA","$750,000"
"Christian Wolanin, D, VAN","$750,000"
"Lawrence Pilut, D, BUF","$750,000"
"Casey Fitzgerald, D, FLA","$750,000"
"Alexander Edler, D, LAK","$750,000"
"Jordie Benn, D, TOR","$750,000"
"Gabriel Carlsson, D, WSH","$750,000"
"Jason Demers, D, EDM","$750,000"
"Connor Carrick, D, BOS","$750,000"
"Victor Mete, D, TOR","$750,000"
"Simon Benoit, D, ANA","$750,000"
"Brayden Pachal, D, VGK","$750,000"
"Joel Hanley, D, DAL","$750,000"
"Kale Clague, D, BUF","$750,000"
"Andreas Englund, D, CHI","$750,000"
"Parker Wotherspoon, D, NYI","$750,000"
"Ben Harpur, D, NYR","$750,000"
"Mac Hollowell, D, TOR","$750,000"
"Corey Schueneman, D, MTL","$750,000"
"Dakota Mermis, D, MIN","$750,000"
"Kyle Burroughs, D, VAN","$750,000"
"Josh Mahura, D, FLA","$750,000"
"Jacob Larsson, D, OTT","$750,000"
"Matt Irwin, D, WSH","$750,000"
"Maxime Lajoie, D, CAR","$750,000"
"Alexandre Carrier, D, NSH","$750,000"
