player,salary
"Connor McDavid, F, EDM","$12,000,000"
"Artemi Panarin, F, NYR","$12,500,000"
"Auston Matthews, F, TOR","$7,950,000"
"John Tavares, F, TOR","$7,950,000"
"Mitchell Marner, F, TOR","$8,000,000"
"Patrick Kane, F, NYR","$6,900,000"
"Jonathan Toews, F, CHI","$6,900,000"
"Anze Kopitar, F, LAK","$7,000,000"
"Aleksander Barkov, F, FLA","$12,000,000"
"Jack Eichel, F, VGK","$10,000,000"
"Tyler Seguin, F, DAL","$13,000,000"
"Johnny Gaudreau, F, CBJ","$9,750,000"
"Mark Stone, F, VGK","$8,000,000"
"Brayden Point, F, TBL","$9,000,000"
"Matthew Tkachuk, F, FLA","$9,000,000"
"Jamie Benn, F, DAL","$6,500,000"
"Nikita Kucherov, F, TBL","$9,000,000"
"Alex Ovechkin, F, WSH","$10,000,000"
"Mikko Rantanen, F, COL","$6,000,000"
"Jeff Skinner, F, BUF","$10,000,000"
"Kirill Kaprizov, F, MIN","$10,000,000"
"Sidney Crosby, F, PIT","$3,000,000"
"Patrik Laine, F, CBJ","$7,500,000"
"Leon Draisaitl, F, EDM","$8,000,000"
"Steven Stamkos, F, TBL","$6,500,000"
"Mika Zibanejad, F, NYR","$8,000,000"
"Filip Forsberg, F, NSH","$10,000,000"
"Sebastian Aho, F, CAR","$6,000,000"
"Blake Wheeler, F, WPG","$6,500,000"
"Brady Tkachuk, F, OTT","$6,500,000"
"Tomas Hertl, F, SJS","$8,250,000"
"Ryan Johansen, F, NSH","$8,000,000"
"Logan Couture, F, SJS","$8,000,000"
"Jack Hughes, F, NJD","$9,000,000"
"Matt Duchene, F, NSH","$8,000,000"
"Kevin Fiala, F, LAK","$6,500,000"
"Nick Suzuki, F, MTL","$10,000,000"
"Evgeny Kuznetsov, F, WSH","$5,000,000"
"Jason Robertson, F, DAL","$4,500,000"
"Andrei Svechnikov, F, CAR","$7,000,000"
"Vladimir Tarasenko, F, NYR","$5,500,000"
"Ryan O'Reilly, F, TOR","$6,000,000"
"Elias Pettersson, F, VAN","$7,800,000"
"Nico Hischier, F, NJD","$4,500,000"
"Clayton Keller, F, ARI","$7,500,000"
"Kyle Connor, F, WPG","$5,000,000"
"Kevin Hayes, F, PHI","$7,500,000"
"Anders Lee, F, NYI","$5,850,000"
"Mathew Barzal, F, NYI","$10,000,000"
"Max Pacioretty, F, CAR","$5,250,000"
"James van Riemsdyk, F, PHI","$5,000,000"
"Nazem Kadri, F, CGY","$7,000,000"
"William Nylander, F, TOR","$6,000,000"
"David Pastrnak, F, BOS","$6,400,000"
"Brock Boeser, F, VAN","$6,650,000"
"Chris Kreider, F, NYR","$6,000,000"
"Brayden Schenn, F, STL","$5,200,000"
"Claude Giroux, F, OTT","$7,000,000"
"Brendan Gallagher, F, MTL","$6,500,000"
"Sam Reinhart, F, FLA","$8,000,000"
"Alex DeBrincat, F, OTT","$9,000,000"
"Sean Monahan, F, MTL","$6,000,000"
"Nathan MacKinnon, F, COL","$6,850,000"
"Valeri Nichushkin, F, COL","$6,000,000"
"Brad Marchand, F, BOS","$5,000,000"
"Mark Scheifele, F, WPG","$5,500,000"
"Evgeni Malkin, F, PIT","$8,000,000"
"Dylan Larkin, F, DET","$5,250,000"
"Ondrej Palat, F, NJD","$8,250,000"
"Pierre-Luc Dubois, F, WPG","$6,000,000"
"Nikolaj Ehlers, F, WPG","$4,750,000"
"Taylor Hall, F, BOS","$7,000,000"
"Mats Zuccarello, F, MIN","$7,500,000"
"Brock Nelson, F, NYI","$5,200,000"
"Milan Lucic, F, CGY","$4,000,000"
"Kyle Okposo, F, BUF","$4,000,000"
"Jake Guentzel, F, PIT","$5,000,000"
"Jordan Staal, F, CAR","$6,000,000"
"Timo Meier, F, NJD","$10,000,000"
"Jonathan Huberdeau, F, CGY","$6,200,000"
"William Karlsson, F, VGK","$5,900,000"
"Nick Schmaltz, F, ARI","$4,500,000"
"Adam Henrique, F, ANA","$5,825,000"
"Andrew Mangiapane, F, CGY","$5,800,000"
"Pavel Buchnevich, F, STL","$5,500,000"
"T.J. Oshie, F, WSH","$4,500,000"
"Anthony Mantha, F, WSH","$6,500,000"
"Andrew Copp, F, DET","$5,500,000"
"Vincent Trocheck, F, NYR","$6,000,000"
"Travis Konecny, F, PHI","$5,750,000"
"Joe Pavelski, F, DAL","$5,500,000"
"Josh Anderson, F, MTL","$7,000,000"
"Jason Zucker, F, PIT","$5,200,000"
"Gustav Nyquist, F, MIN","$5,000,000"
"Zach Hyman, F, EDM","$5,100,000"
"Jonathan Drouin, F, MTL","$5,500,000"
"Phillip Danault, F, LAK","$5,500,000"
"Bo Horvat, F, NYI","$4,450,000"
"Adrian Kempe, F, LAK","$5,250,000"
"Jesper Bratt, F, NJD","$5,450,000"
"Mikael Backlund, F, CGY","$5,350,000"
"Jakob Silfverberg, F, ANA","$5,250,000"
"Charlie Coyle, F, BOS","$4,000,000"
"J.T. Miller, F, VAN","$4,500,000"
"Joel Eriksson Ek, F, MIN","$3,000,000"
"Tom Wilson, F, WSH","$4,100,000"
"Evander Kane, F, EDM","$6,250,000"
"Bryan Rust, F, PIT","$6,100,000"
"Ryan Nugent-Hopkins, F, EDM","$5,250,000"
"Ryan Strome, F, ANA","$5,000,000"
"Mikael Granlund, F, PIT","$5,000,000"
"Reilly Smith, F, VGK","$5,750,000"
"Jonathan Marchessault, F, VGK","$3,500,000"
"Rickard Rakell, F, PIT","$6,000,000"
"Josh Bailey, F, NYI","$3,500,000"
"Kyle Palmieri, F, NYI","$5,000,000"
"Jean-Gabriel Pageau, F, NYI","$4,500,000"
"Joel Farabee, F, PHI","$3,000,000"
"Tyler Johnson, F, CHI","$3,750,000"
"Drake Batherson, F, OTT","$3,500,000"
"Conor Garland, F, VAN","$4,000,000"
"Blake Coleman, F, CGY","$4,900,000"
"Elias Lindholm, F, CGY","$3,850,000"
"Jesperi Kotkaniemi, F, CAR","$4,000,000"
"Anthony Cirelli, F, TBL","$7,200,000"
"Alex Tuch, F, BUF","$4,750,000"
"Victor Olofsson, F, BUF","$4,750,000"
"David Perron, F, DET","$4,350,000"
"Ilya Mikheyev, F, VAN","$4,350,000"
"Tyler Bertuzzi, F, BOS","$5,250,000"
"Kevin Labanc, F, SJS","$5,875,000"
"Tomas Tatar, F, NJD","$5,250,000"
"Brandon Saad, F, STL","$4,500,000"
"Mason Marchment, F, DAL","$6,000,000"
"Artturi Lehkonen, F, COL","$5,000,000"
"Mike Hoffman, F, MTL","$5,000,000"
"Christian Dvorak, F, MTL","$3,450,000"
"Alex Killorn, F, TBL","$4,450,000"
"Sam Bennett, F, FLA","$3,425,000"
"Lawson Crouse, F, ARI","$3,600,000"
"Tyler Toffoli, F, CGY","$5,125,000"
"Viktor Arvidsson, F, LAK","$4,250,000"
"Carter Verhaeghe, F, FLA","$3,000,000"
"Anthony Beauvillier, F, VAN","$4,150,000"
"Robby Fabbri, F, DET","$3,500,000"
"Nino Niederreiter, F, WPG","$4,000,000"
"Jack Roslovic, F, CBJ","$4,000,000"
"Alex Iafallo, F, LAK","$4,400,000"
"Jake DeBrusk, F, BOS","$4,000,000"
"Nick Foligno, F, BOS","$3,800,000"
"Boone Jenner, F, CBJ","$3,750,000"
"Frank Vatrano, F, ANA","$3,650,000"
"Barclay Goodrow, F, NYR","$3,000,000"
"Connor Brown, F, WSH","$4,000,000"
"Dylan Strome, F, WSH","$3,500,000"
"Pavel Zacha, F, BOS","$3,500,000"
"Lars Eller, F, COL","$3,000,000"
"J.T. Compher, F, COL","$3,500,000"
"Alexander Kerfoot, F, TOR","$2,700,000"
"Joel Armia, F, MTL","$3,000,000"
"Andreas Johnsson, F, SJS","$2,500,000"
