assists,assists_per_60_minutes,created_xgoals,created_xgoals_minus_actual_xgoals,defensive_zone_giveaways,expected_goals,expected_goals_per_60_minutes,expected_pct_of_unblocked_shots_that_missed_net,expected_shooting_pct_on_unblocked_shots,faceoff_win_pct,final_standing,flurry_adjusted_xgoals,games_played,giveaways,goals,goals_above_expected,goals_above_shooting_talent,goals_per_60_minutes,high_danger_unblocked_shot_attempts,high_danger_xgoals,hits,icetime,low_danger_unblocked_shot_attempts,low_danger_xgoals,lower_limit,medium_danger_unblocked_shot_attempts,medium_danger_xgoals,min_salary,net_miss_pct_above_expected,off-ice_expected_goals_pct,on-ice_expected_goals_against_per_60_minutes,on-ice_expected_goals_differential,on-ice_expected_goals_pct,on-ice_goal_differential,on-ice_goals_pct,on-ice_high_danger_shot_attempts_against_per_60_minutes,on-ice_score/flurry_adjusted_expected_goals_pct,on-ice_score_adjusted_expected_goals_pct,on-ice_shot_attempt_pct_(corsi),on-ice_shot_attempts_against_per_60_minutes,on-ice_unblocked_shot_attempt_pct_(fenwick),pct_change,pct_of_shift_starts_in_defensive_zone,pct_of_shift_starts_in_neutral_zone,pct_of_shift_starts_in_offensive_zone,pct_of_shift_starts_on_fly,pct_of_unblocked_shots_that_missed_net,pim,pim_differential,pim_drawn,player,points,points_per_60_minutes,primary_assists,rebounds_created,rebounds_created_above_expected,relative_expected_goals_pct,secondary_assists,share_of_possible_icetime,share_of_xgoals_from_rebounds_shots,shifts,shooting_pct,shooting_pct_on_unblocked_shots,shooting_pct_on_unblocked_shots_above_expected,shooting_talent_above_average,shooting_talent_adjusted_expected_goals,shot_attempts,shot_attempts_per_60_minutes,shots_blocked_by_player,shots_blocked_by_player_per_60,shots_on_goal,shots_on_goal_per_60_minutes,shots_that_missed_net,shots_that_were_blocked,takeaways,upper_limit,xgoals_from_non_rebounds,xgoals_of_expected_rebounds,xgoals_on_rebounds_shots,xrebounds_created
12,0.71,1.8,0.4,15,1.4,0.08,0.28800000000000003,0.019,0.0,24.0,1.3,68,20,2,0.6,1.0,0.12,0,0.0,99,1020,50,1.09,61700000,2,0.28,775000,-0.077,0.514,3.92,-23.4,0.39399999999999996,-33,0.35100000000000003,4.35,0.39399999999999996,0.391,0.42,64.84,0.41,0.0121,0.17800000000000002,0.15,0.071,0.601,0.212,38,18,20,"Ilya Lyubushkin, D, BUF",14,0.82,6,0,-1.8,-0.12,6,0.247,0.015,1469,0.049,0.038,0.019,-0.23,1.0,78,4.59,104,6.11,41,2.41,11,26,27,83500000,1.3,0.4,0.0,1.8
3,0.23,3.0,0.6,16,2.4,0.18,0.324,0.02,0.0,13.0,2.4,61,18,2,-0.4,-0.4,0.15,0,0.0,117,795,97,1.98,61700000,5,0.46,775000,-0.098,0.514,2.57,-6.8,0.445,-10,0.41100000000000003,2.19,0.446,0.445,0.45,59.45,0.46,0.0121,0.121,0.125,0.051,0.7040000000000001,0.225,36,4,32,"Matt Irwin, D, WSH",5,0.38,1,4,0.1,-0.069,2,0.214,0.061,1060,0.025,0.02,0.0,0.0,2.4,140,10.56,75,5.66,79,5.96,23,38,9,83500000,2.3,0.8,0.2,3.9
6,0.61,1.6,0.4,9,1.2,0.12,0.319,0.021,0.0,28.0,1.2,42,12,2,0.8,0.8,0.2,0,0.0,64,588,46,1.13,61700000,1,0.08,775000,0.106,0.5720000000000001,2.47,6.1,0.556,2,0.522,2.55,0.552,0.555,0.53,51.97,0.52,0.0121,0.10300000000000001,0.14,0.129,0.628,0.426,25,16,9,"Kevin Bahl, D, NJD",8,0.82,2,5,3.2,-0.016,4,0.23,0.0,814,0.07400000000000001,0.043,0.022000000000000002,-0.043,1.2,79,8.05,38,3.87,27,2.75,20,32,8,83500000,1.2,0.4,0.0,1.8
8,0.44,4.4,0.8,7,3.6,0.2,0.31,0.024,0.0,2.0,3.6,63,17,0,-3.6,-3.9,0.0,0,0.0,121,1087,120,2.79,61700000,6,0.84,775000,-0.087,0.5660000000000001,3.6,-22.3,0.397,-13,0.43200000000000005,3.81,0.408,0.40399999999999997,0.44,64.58,0.43,0.0121,0.16899999999999998,0.151,0.067,0.613,0.222,12,10,2,"Erik Johnson, D, COL",8,0.44,5,9,4.1,-0.16899999999999998,3,0.28300000000000003,0.057999999999999996,1504,0.0,0.0,-0.024,0.07,3.9,182,10.05,102,5.63,98,5.41,28,56,16,83500000,3.4,1.0,0.2,4.9
5,0.61,2.5,-0.1,5,2.6,0.32,0.28800000000000003,0.03,0.0,17.0,2.5,31,7,3,0.4,0.5,0.36,2,0.49,18,495,56,1.03,61700000,8,1.12,775000,-0.076,0.539,2.3,4.2,0.55,2,0.529,1.82,0.544,0.5529999999999999,0.53,54.82,0.54,0.0121,0.071,0.154,0.129,0.6459999999999999,0.212,6,-2,8,"Ben Hutton, D, VGK",8,0.97,2,2,-0.7,0.011000000000000001,3,0.261,0.25,636,0.057999999999999996,0.045,0.015,-0.07,2.5,94,11.38,34,4.11,52,6.29,14,28,14,83500000,2.0,0.6,0.7,2.7
1,0.86,0.3,0.1,2,0.2,0.2,0.4,0.0,0.0,13.0,0.2,6,2,0,-0.2,-0.2,0.0,0,0.0,14,70,10,0.23,61700000,0,0.0,775000,0.5,0.46399999999999997,2.98,-0.3,0.475,-6,0.2,2.57,0.467,0.466,0.54,62.53,0.49,0.0121,0.127,0.10800000000000001,0.069,0.696,0.9,7,2,5,"Dylan McIlrath, D, WSH",1,0.86,0,1,0.6,0.011000000000000001,1,0.19399999999999998,0.13,102,0.0,0.0,0.0,0.0,0.2,17,14.56,7,6.0,1,0.86,9,7,0,83500000,0.2,0.1,0.0,0.4
0,0.0,0.0,0.0,0,0.0,0.11,1.0,0.0,0.0,29.0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,2,16,1,0.03,61700000,0,0.0,775000,0.0,0.598,3.82,0.2,0.5429999999999999,-1,0.33299999999999996,7.2,0.5429999999999999,0.526,0.63,50.4,0.63,0.0121,0.048,0.048,0.048,0.857,1.0,2,2,0,"Adam Ginning, D, PHI",0,0.0,0,0,0.0,-0.055,0,0.257,0.0,21,,0.0,0.0,0.0,0.0,1,3.6,2,7.2,0,0.0,1,0,0,83500000,0.0,0.0,0.0,0.0
11,0.45,4.4,0.1,20,4.3,0.18,0.308,0.034,0.0,17.0,4.2,77,30,3,-1.3,-1.8,0.12,5,1.3,48,1480,102,1.9,61700000,10,1.12,775000,0.043,0.544,2.99,-3.3,0.489,13,0.544,3.08,0.484,0.494,0.42,69.31,0.45,0.0121,0.16899999999999998,0.153,0.107,0.5710000000000001,0.35,29,10,19,"Alec Martinez, D, VGK",14,0.57,4,5,0.0,-0.055,7,0.316,0.20600000000000002,1819,0.039,0.026000000000000002,-0.008,0.11800000000000001,4.8,197,7.98,244,9.89,76,3.08,41,80,29,83500000,3.4,1.0,0.9,5.0
9,0.57,2.1,0.5,24,1.6,0.1,0.33299999999999996,0.011000000000000001,0.0,14.0,1.5,64,27,2,0.5,0.3,0.13,0,0.0,106,945,88,1.36,61700000,2,0.19,775000,0.044000000000000004,0.557,3.03,-7.1,0.46,-13,0.434,2.79,0.45899999999999996,0.45899999999999996,0.47,64.03,0.49,0.0121,0.14800000000000002,0.131,0.106,0.615,0.37799999999999995,34,24,10,"Alexander Edler, D, LAK",11,0.7,5,6,2.8,-0.09699999999999999,4,0.243,0.084,1109,0.036000000000000004,0.022000000000000002,0.011000000000000001,0.07,1.7,154,9.77,104,6.6,56,3.55,34,64,6,83500000,1.4,0.6,0.1,3.2
23,1.0,7.6,1.5,24,6.1,0.26,0.304,0.035,0.0,5.0,5.8,67,46,10,3.9,3.4,0.43,5,1.33,55,1381,153,3.36,61700000,13,1.41,775000,0.040999999999999995,0.39899999999999997,3.78,-14.1,0.456,-8,0.473,4.52,0.452,0.45,0.5,60.53,0.49,0.0121,0.102,0.159,0.149,0.59,0.345,34,14,20,"John Klingberg, D, MIN",33,1.43,15,7,-1.3,0.057,8,0.33799999999999997,0.066,1514,0.08900000000000001,0.057999999999999996,0.023,0.08800000000000001,6.6,272,11.81,84,3.65,112,4.86,59,101,22,83500000,5.7,1.9,0.4,8.3
