player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,icetime,expected_goals,goals,assists,points,primary_assists,secondary_assists,shifts,share_of_possible_icetime,pct_of_shift_starts_in_offensive_zone,pct_of_shift_starts_in_neutral_zone,pct_of_shift_starts_in_defensive_zone,pct_of_shift_starts_on_fly,hits,pim,pim_drawn,pim_differential,shots_blocked_by_player,shots_blocked_by_player_per_60,takeaways,giveaways,defensive_zone_giveaways,faceoff_win_pct,goals_above_expected,expected_goals_per_60_minutes,goals_per_60_minutes,assists_per_60_minutes,points_per_60_minutes,shots_on_goal_per_60_minutes,shot_attempts_per_60_minutes,shooting_pct,shooting_pct_on_unblocked_shots,expected_shooting_pct_on_unblocked_shots,shooting_pct_on_unblocked_shots_above_expected,shot_attempts,shots_on_goal,shots_that_missed_net,shots_that_were_blocked,pct_of_unblocked_shots_that_missed_net,expected_pct_of_unblocked_shots_that_missed_net,net_miss_pct_above_expected,high_danger_unblocked_shot_attempts,medium_danger_unblocked_shot_attempts,low_danger_unblocked_shot_attempts,high_danger_xgoals,medium_danger_xgoals,low_danger_xgoals,on-ice_shot_attempt_pct_(corsi),on-ice_unblocked_shot_attempt_pct_(fenwick),on-ice_goals_pct,on-ice_expected_goals_pct,off-ice_expected_goals_pct,relative_expected_goals_pct,on-ice_score_adjusted_expected_goals_pct,on-ice_score/flurry_adjusted_expected_goals_pct,on-ice_expected_goals_against_per_60_minutes,on-ice_shot_attempts_against_per_60_minutes,on-ice_high_danger_shot_attempts_against_per_60_minutes,flurry_adjusted_xgoals,on-ice_goal_differential,on-ice_expected_goals_differential,rebounds_created,xrebounds_created,rebounds_created_above_expected,xgoals_on_rebounds_shots,share_of_xgoals_from_rebounds_shots,xgoals_from_non_rebounds,xgoals_of_expected_rebounds,created_xgoals,created_xgoals_minus_actual_xgoals,shooting_talent_above_average,shooting_talent_adjusted_expected_goals,goals_above_shooting_talent,final_standing
Mark Fraser,D,550000,2010-11,0.0825,64300000,48300000,525000,NJD,25.0,347.0,0.4,0.0,2.0,2.0,2.0,0.0,472.0,0.23,0.066,0.106,0.055,0.773,57.0,29.0,35.0,-6.0,18.0,3.11,3.0,8.0,7.0,0.0,-0.4,0.07,0.0,0.35,0.35,2.59,6.04,0.0,0.0,0.0,0.0,35.0,15.0,10.0,10.0,0.4,0.36,0.04,0.0,0.0,25.0,0.0,0.0,0.42,0.49,0.48,0.48,0.47600000000000003,0.495,-0.019,0.484,0.478,2.15,48.87,1.21,0.4,-1.0,-1.1,1.0,0.8,0.2,0.0,0.0,0.4,0.2,0.6,0.2,-0.005,0.4,-0.4,23.0
Steve Eminger,D,800000,2010-11,0.0825,64300000,48300000,525000,NYR,65.0,1030.0,1.9,2.0,4.0,6.0,0.0,4.0,1346.0,0.261,0.10300000000000001,0.157,0.105,0.634,143.0,20.0,23.0,-3.0,103.0,6.0,18.0,16.0,13.0,0.0,0.1,0.11,0.12,0.23,0.35,1.34,3.49,0.087,0.05,0.025,0.025,60.0,23.0,17.0,20.0,0.425,0.35,0.075,2.0,4.0,34.0,0.66,0.49,0.74,0.45,0.45,0.44,0.486,0.54,-0.054000000000000006,0.48700000000000004,0.488,2.52,56.84,2.5,1.8,-9.0,-2.3,0.0,1.6,-1.6,0.5,0.243,1.4,0.3,1.7,-0.2,0.07200000000000001,2.0,0.0,18.0
Josh Gorges,D,2500000,2010-11,0.0825,64300000,48300000,525000,MTL,36.0,762.0,1.5,1.0,6.0,7.0,1.0,5.0,1031.0,0.35200000000000004,0.094,0.152,0.184,0.569,55.0,18.0,14.0,4.0,79.0,6.22,8.0,24.0,21.0,0.0,-0.5,0.12,0.08,0.47,0.55,1.57,4.88,0.05,0.026000000000000002,0.026000000000000002,0.0,62.0,20.0,19.0,23.0,0.48700000000000004,0.359,0.128,1.0,1.0,37.0,0.58,0.11,0.78,0.42,0.43,0.41,0.401,0.57,-0.16899999999999998,0.40399999999999997,0.39899999999999997,3.01,62.5,3.23,1.4,-11.0,-12.7,1.0,1.6,-0.5,0.0,0.0,1.5,0.3,1.8,0.3,-0.14400000000000002,1.3,-0.3,14.0
Andrej Sekera,D,2750000,2010-11,0.0825,64300000,48300000,525000,BUF,76.0,1602.0,4.3,3.0,26.0,29.0,10.0,16.0,2059.0,0.345,0.106,0.159,0.129,0.606,61.0,22.0,26.0,-4.0,85.0,3.18,38.0,51.0,35.0,0.0,-1.3,0.16,0.11,0.97,1.09,3.3,8.54,0.034,0.022000000000000002,0.028999999999999998,-0.006999999999999999,228.0,88.0,48.0,92.0,0.353,0.316,0.037000000000000005,1.0,12.0,123.0,0.27,1.53,2.49,0.52,0.51,0.532,0.512,0.496,0.016,0.512,0.512,2.56,52.16,2.28,4.2,9.0,3.3,7.0,6.3,0.7,0.5,0.11699999999999999,3.8,1.4,5.2,0.9,0.0,4.3,-1.3,15.0
Karl Alzner,D,1285000,2010-11,0.0825,64300000,48300000,525000,WSH,82.0,1629.0,1.7,2.0,10.0,12.0,2.0,8.0,2021.0,0.325,0.096,0.188,0.135,0.581,98.0,24.0,14.0,10.0,132.0,4.86,24.0,40.0,35.0,0.0,0.3,0.06,0.07,0.37,0.44,2.36,5.23,0.031,0.022000000000000002,0.011000000000000001,0.011000000000000001,142.0,64.0,25.0,53.0,0.281,0.337,-0.055999999999999994,0.0,1.0,88.0,0.0,0.1,1.61,0.49,0.48,0.49200000000000005,0.473,0.5539999999999999,-0.081,0.47200000000000003,0.47200000000000003,2.59,54.94,2.14,1.7,-2.0,-7.3,1.0,3.2,-2.2,0.1,0.057999999999999996,1.6,0.6,2.2,0.5,-0.10800000000000001,1.5,0.5,2.0
Sami Lepisto,D,750000,2010-11,0.0825,64300000,48300000,525000,CBJ,70.0,1228.0,2.7,4.0,12.0,16.0,4.0,8.0,1598.0,0.28800000000000003,0.09699999999999999,0.153,0.126,0.623,72.0,55.0,43.0,12.0,90.0,4.39,20.0,24.0,18.0,1.0,1.3,0.13,0.2,0.59,0.78,2.73,6.54,0.071,0.048,0.024,0.024,134.0,56.0,27.0,51.0,0.325,0.337,-0.012,1.0,4.0,78.0,0.2,0.42,2.08,0.47,0.47,0.461,0.408,0.5,-0.092,0.408,0.414,2.84,58.1,2.34,2.7,-8.0,-18.1,3.0,3.8,-0.8,0.3,0.122,2.4,0.8,3.2,0.5,-0.207,2.1,1.9,24.0
Adam McQuaid,D,1566666,2010-11,0.0825,64300000,48300000,525000,BOS,67.0,996.0,1.8,3.0,12.0,15.0,6.0,6.0,1353.0,0.244,0.091,0.16699999999999998,0.14,0.602,102.0,86.0,91.0,-5.0,131.0,7.89,5.0,15.0,12.0,0.0,1.2,0.11,0.18,0.72,0.9,2.77,7.41,0.065,0.048,0.016,0.032,123.0,46.0,16.0,61.0,0.258,0.32299999999999995,-0.065,1.0,4.0,57.0,0.24,0.46,1.11,0.45,0.44,0.622,0.457,0.507,-0.05,0.462,0.467,2.61,62.95,1.99,1.8,22.0,-6.9,5.0,2.4,2.6,0.2,0.132,1.6,0.5,2.1,0.3,-0.034,1.8,1.2,7.0
Derek Smith,D,700000,2010-11,0.0825,64300000,48300000,525000,OTT,9.0,137.0,0.3,0.0,1.0,1.0,1.0,0.0,167.0,0.255,0.15,0.114,0.07200000000000001,0.665,5.0,0.0,4.0,-4.0,11.0,4.79,3.0,2.0,1.0,0.0,-0.3,0.13,0.0,0.44,0.44,5.66,9.58,0.0,0.0,0.0,0.0,22.0,13.0,2.0,7.0,0.133,0.33299999999999996,-0.2,0.0,0.0,15.0,0.0,0.0,0.29,0.58,0.58,0.8,0.597,0.444,0.153,0.599,0.591,1.38,41.78,0.87,0.3,3.0,1.5,0.0,0.6,-0.6,0.0,0.0,0.3,0.1,0.4,0.1,-0.09699999999999999,0.3,-0.3,26.0
Shane O'Brien,D,1100000,2010-11,0.0825,64300000,48300000,525000,NSH,80.0,1369.0,2.6,2.0,7.0,9.0,4.0,3.0,1764.0,0.281,0.084,0.129,0.184,0.603,164.0,83.0,49.0,34.0,80.0,3.51,30.0,50.0,41.0,0.0,-0.6,0.12,0.09,0.31,0.39,2.19,4.6,0.04,0.028999999999999998,0.028999999999999998,0.0,105.0,50.0,19.0,36.0,0.275,0.319,-0.043,0.0,12.0,57.0,0.0,1.34,1.3,0.42,0.41,0.41100000000000003,0.39799999999999996,0.541,-0.14300000000000002,0.40299999999999997,0.402,2.82,61.48,2.28,2.6,-16.0,-21.8,2.0,2.9,-0.9,0.3,0.121,2.3,0.6,2.9,0.3,0.0,2.6,-0.6,10.0
Ryan Wilson,D,1275000,2010-11,0.0825,64300000,48300000,525000,COL,67.0,1327.0,2.8,3.0,13.0,16.0,7.0,6.0,1759.0,0.325,0.087,0.185,0.162,0.5660000000000001,135.0,68.0,54.0,14.0,110.0,4.97,28.0,31.0,20.0,0.0,0.2,0.13,0.14,0.59,0.72,2.8,6.15,0.048,0.033,0.022000000000000002,0.011000000000000001,136.0,62.0,29.0,45.0,0.319,0.33,-0.011000000000000001,1.0,5.0,85.0,0.31,0.67,1.82,0.43,0.43,0.39799999999999996,0.45,0.486,-0.036000000000000004,0.445,0.44799999999999995,2.82,61.09,2.13,2.8,-27.0,-11.3,7.0,3.6,3.4,0.2,0.08199999999999999,2.6,0.7,3.3,0.5,-0.028999999999999998,2.7,0.3,29.0
