assists,assists_per_60_minutes,created_xgoals,created_xgoals_minus_actual_xgoals,defensive_zone_giveaways,expected_goals,expected_goals_per_60_minutes,expected_pct_of_unblocked_shots_that_missed_net,expected_shooting_pct_on_unblocked_shots,faceoff_win_pct,final_standing,flurry_adjusted_xgoals,games_played,giveaways,goals,goals_above_expected,goals_above_shooting_talent,goals_per_60_minutes,high_danger_unblocked_shot_attempts,high_danger_xgoals,hits,icetime,low_danger_unblocked_shot_attempts,low_danger_xgoals,lower_limit,medium_danger_unblocked_shot_attempts,medium_danger_xgoals,min_salary,net_miss_pct_above_expected,off-ice_expected_goals_pct,on-ice_expected_goals_against_per_60_minutes,on-ice_expected_goals_differential,on-ice_expected_goals_pct,on-ice_goal_differential,on-ice_goals_pct,on-ice_high_danger_shot_attempts_against_per_60_minutes,on-ice_score/flurry_adjusted_expected_goals_pct,on-ice_score_adjusted_expected_goals_pct,on-ice_shot_attempt_pct_(corsi),on-ice_shot_attempts_against_per_60_minutes,on-ice_unblocked_shot_attempt_pct_(fenwick),pct_change,pct_of_shift_starts_in_defensive_zone,pct_of_shift_starts_in_neutral_zone,pct_of_shift_starts_in_offensive_zone,pct_of_shift_starts_on_fly,pct_of_unblocked_shots_that_missed_net,pim,pim_differential,pim_drawn,player,points,points_per_60_minutes,primary_assists,rebounds_created,rebounds_created_above_expected,relative_expected_goals_pct,secondary_assists,share_of_possible_icetime,share_of_xgoals_from_rebounds_shots,shifts,shooting_pct,shooting_pct_on_unblocked_shots,shooting_pct_on_unblocked_shots_above_expected,shooting_talent_above_average,shooting_talent_adjusted_expected_goals,shot_attempts,shot_attempts_per_60_minutes,shots_blocked_by_player,shots_blocked_by_player_per_60,shots_on_goal,shots_on_goal_per_60_minutes,shots_that_missed_net,shots_that_were_blocked,takeaways,upper_limit,xgoals_from_non_rebounds,xgoals_of_expected_rebounds,xgoals_on_rebounds_shots,xrebounds_created
9,1.21,5.6,-1.2,3,6.8,0.91,0.264,0.113,0.385,25.0,6.6,28,12,7,0.2,-0.8,0.94,10,4.02,49,447,29,1.07,61700000,14,1.73,775000,0.075,0.44799999999999995,2.69,1.5,0.518,9,0.622,1.88,0.516,0.517,0.46,57.19,0.46,0.0121,0.107,0.175,0.188,0.53,0.34,12,0,12,"Robby Fabbri, F, DET",16,2.14,5,5,2.2,0.07,4,0.264,0.272,504,0.2,0.132,0.019,0.14800000000000002,7.8,65,8.71,15,2.01,35,4.69,18,12,6,83500000,5.0,0.7,1.9,2.9
26,1.2,23.3,-4.7,14,28.0,1.3,0.249,0.111,0.5,4.0,26.4,82,38,23,-5.0,-6.2,1.07,39,13.3,85,1295,136,4.93,61700000,78,9.81,775000,0.063,0.525,2.81,24.6,0.584,39,0.642,2.87,0.581,0.588,0.55,54.66,0.56,0.0121,0.061,0.158,0.17800000000000002,0.602,0.312,83,-4,87,"Michael Bunting, F, TOR",49,2.27,19,31,15.6,0.059000000000000004,7,0.261,0.292,1586,0.132,0.091,-0.02,0.043,29.2,298,13.8,18,0.83,174,8.06,79,45,49,83500000,19.9,3.5,8.2,15.4
22,1.37,13.8,-0.9,4,14.7,0.92,0.276,0.08199999999999999,0.5379999999999999,14.0,14.2,59,9,14,-0.7,-0.1,0.87,15,5.8,27,961,110,3.34,61700000,45,5.58,775000,-0.059000000000000004,0.523,2.75,11.5,0.5579999999999999,12,0.5589999999999999,2.87,0.5539999999999999,0.56,0.51,55.78,0.53,0.0121,0.15,0.168,0.131,0.551,0.218,20,-4,24,"Alex Iafallo, F, LAK",36,2.25,13,12,3.1,0.035,9,0.268,0.19699999999999998,1294,0.105,0.08199999999999999,0.0,-0.044000000000000004,14.1,218,13.6,33,2.06,133,8.3,37,48,28,83500000,11.8,2.0,2.9,8.9
16,1.02,12.2,-0.6,14,12.8,0.82,0.265,0.106,0.631,27.0,12.2,53,42,15,2.2,1.0,0.96,20,8.07,9,938,70,2.0,61700000,23,2.73,775000,-0.035,0.41600000000000004,3.97,-8.9,0.461,-20,0.415,4.86,0.45799999999999996,0.455,0.49,59.0,0.48,0.0121,0.147,0.132,0.168,0.5529999999999999,0.23,33,8,25,"Jonathan Toews, F, CHI",31,1.98,12,7,0.3,0.045,4,0.293,0.17600000000000002,1151,0.172,0.133,0.027000000000000003,0.095,14.0,138,8.82,23,1.47,87,5.56,26,25,37,83500000,10.5,1.7,2.3,6.7
11,1.0,7.6,0.1,8,7.5,0.69,0.29,0.075,0.2,19.0,7.2,41,11,5,-2.5,-2.2,0.46,6,2.23,47,656,58,1.76,61700000,29,3.51,775000,-0.054000000000000006,0.5479999999999999,3.2,-1.8,0.48700000000000004,-4,0.466,3.2,0.48700000000000004,0.488,0.46,63.58,0.46,0.0121,0.162,0.16899999999999998,0.11199999999999999,0.557,0.237,8,-14,22,"Mason Appleton, F, WPG",16,1.46,6,5,0.4,-0.061,5,0.265,0.11900000000000001,872,0.07,0.054000000000000006,-0.021,-0.039,7.2,109,9.96,11,1.0,71,6.49,22,16,12,83500000,6.6,1.0,0.9,4.6
16,0.85,15.4,-3.3,16,18.7,0.99,0.26,0.102,0.511,23.0,17.6,62,34,22,3.3,1.3,1.17,23,9.07,28,1127,102,3.1,61700000,52,6.51,775000,-0.006,0.37,4.18,-13.8,0.452,-12,0.457,4.79,0.45,0.44799999999999995,0.47,64.62,0.46,0.0121,0.187,0.166,0.187,0.46,0.254,22,4,18,"Adam Henrique, F, ANA",38,2.02,9,12,2.0,0.08199999999999999,7,0.298,0.297,1459,0.16699999999999998,0.124,0.022000000000000002,0.105,20.7,224,11.92,46,2.45,132,7.03,45,47,26,83500000,13.1,2.3,5.6,10.0
27,1.22,17.4,-0.7,8,18.1,0.82,0.267,0.087,0.45799999999999996,29.0,17.4,81,26,19,0.9,6.1,0.86,15,5.88,85,1323,131,4.87,61700000,60,7.35,775000,-0.019,0.44799999999999995,2.92,0.7,0.503,-2,0.493,2.81,0.502,0.5,0.51,54.66,0.52,0.0121,0.073,0.155,0.157,0.615,0.248,24,-6,30,"Morgan Frost, F, PHI",46,2.08,14,18,6.5,0.055,13,0.26899999999999996,0.17800000000000002,1745,0.12300000000000001,0.092,0.005,-0.28600000000000003,12.9,277,12.55,53,2.4,155,7.03,51,71,37,83500000,14.9,2.5,3.2,11.5
9,0.49,15.5,-1.6,9,17.1,0.93,0.278,0.11800000000000001,0.5379999999999999,4.0,16.7,77,13,14,-3.1,-1.3,0.76,21,7.42,244,1102,69,2.93,61700000,54,6.77,775000,0.013999999999999999,0.48700000000000004,3.19,-11.4,0.446,-23,0.374,3.38,0.45299999999999996,0.44799999999999995,0.4,62.34,0.43,0.0121,0.163,0.146,0.057,0.634,0.292,21,-16,37,"Noel Acciari, F, TOR",23,1.25,5,12,3.8,-0.040999999999999995,4,0.23600000000000002,0.2,1403,0.13699999999999998,0.09699999999999999,-0.021,-0.106,15.3,168,9.15,81,4.41,102,5.55,42,24,33,83500000,13.7,1.8,3.4,8.2
14,1.2,7.9,-2.1,5,10.0,0.85,0.272,0.07200000000000001,0.4,12.0,9.3,65,16,8,-2.0,-1.9,0.69,11,3.57,76,699,82,2.43,61700000,32,3.96,775000,-0.04,0.53,2.43,6.4,0.551,-1,0.49200000000000005,2.06,0.5489999999999999,0.5529999999999999,0.53,54.75,0.52,0.0121,0.107,0.142,0.076,0.675,0.23199999999999998,12,4,8,"Danton Heinen, F, PIT",22,1.89,9,10,3.5,0.021,5,0.17800000000000002,0.35200000000000004,984,0.083,0.064,-0.008,-0.003,9.9,163,13.99,26,2.23,96,8.24,29,38,24,83500000,6.5,1.4,3.5,6.5
27,1.23,13.8,-0.9,15,14.7,0.67,0.244,0.08,0.442,5.0,14.2,80,31,19,4.3,3.2,0.86,12,4.91,26,1319,120,4.11,61700000,44,5.68,775000,-0.023,0.484,2.76,18.8,0.5670000000000001,26,0.597,2.55,0.5589999999999999,0.569,0.56,53.08,0.55,0.0121,0.12,0.152,0.19,0.5379999999999999,0.222,8,-25,33,"Marcus Johansson, F, MIN",46,2.09,17,14,4.0,0.083,10,0.272,0.21600000000000003,1542,0.139,0.10800000000000001,0.027999999999999997,0.073,15.8,233,10.6,23,1.05,137,6.23,39,57,31,83500000,11.5,2.3,3.2,10.0
