expected_goals_against,expected_pct_of_unblocked_shot_attempts_against_on_goal,expected_puck_freeze,final_standing,gaa,gaa_better_than_expected,games_played,goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,high_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,icetime,low_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,lower_limit,medium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,min_salary,on_goal_pct_above_expected,pct_change,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,player,puck_freezes,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,rebounds_above_expected,rebounds_per_save,save_pct_above_expected,save_pct_on_shots_on_goal,save_pct_on_unblocked_shots,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,upper_limit,wins_above_replacement,xgaa,xhigh_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,xrebounds_per_save,xsave_pct_on_unblocked_shots
217.67,0.5428999999999999,474.91,16.0,2.69,0.73,64,171,46.7,0.735,0.757,0.074,3809,0.979,0.01,61700000,0.892,0.014,775000,-0.0070999999999999995,0.0121,0.2014,0.5357,"Juuse Saros, G, NSH",456,-18.91,-0.01,0.014,0.055,0.012,0.919,0.956,1928,3747,83500000,7.78,3.43,0.682,0.969,0.878,0.041,0.944
133.45,0.5435,337.7,10.0,1.89,0.88,49,91,42.4,0.883,0.759,0.078,2882,0.984,0.011,61700000,0.917,0.04,775000,-0.0013,0.0121,0.20309999999999997,0.5422,"Linus Ullmark, G, BOS",351,13.3,0.01,0.01,0.05,0.016,0.938,0.966,1366,2596,83500000,7.07,2.78,0.681,0.973,0.877,0.04,0.95
178.65,0.5327000000000001,449.97,20.0,2.34,0.65,62,140,38.7,0.647,0.818,0.122,3587,0.976,0.005,61700000,0.883,0.009,775000,-0.0179,0.0121,0.2127,0.5147999999999999,"Ilya Sorokin, G, NYI",325,-124.97,-0.07,0.024,0.064,0.011,0.924,0.961,1699,3432,83500000,6.44,2.99,0.696,0.972,0.874,0.04,0.95
187.77,0.5487,449.82,19.0,2.49,0.49,64,157,30.8,0.489,0.741,0.058,3778,0.975,0.005,61700000,0.894,0.019,775000,0.0070999999999999995,0.0121,0.1946,0.5557,"Connor Hellebuyck, G, WPG",370,-79.82,-0.04,0.014,0.054,0.009,0.92,0.956,1807,3377,83500000,5.13,2.98,0.683,0.971,0.876,0.041,0.947
172.05,0.541,405.65,7.0,2.48,0.48,58,144,28.1,0.483,0.742,0.073,3488,0.968,-0.003,61700000,0.913,0.038,775000,-0.006999999999999999,0.0121,0.2079,0.534,"Igor Shesterkin, G, NYR",228,-177.65,-0.1,0.012,0.051,0.009,0.916,0.955,1575,3075,83500000,4.68,2.96,0.669,0.971,0.876,0.039,0.947
184.34,0.5468999999999999,421.07,8.0,2.65,0.42,60,159,25.3,0.422,0.746,0.07,3596,0.97,-0.001,61700000,0.898,0.024,775000,0.0096,0.0121,0.1977,0.5565,"Andrei Vasilevskiy, G, TBL",334,-87.07,-0.05,0.012,0.054,0.008,0.915,0.953,1716,3210,83500000,4.22,3.08,0.676,0.971,0.875,0.042,0.945
105.16,0.5247999999999999,278.87,5.0,2.1,0.63,39,81,24.2,0.628,0.729,0.073,2310,0.979,0.008,61700000,0.905,0.023,775000,-0.0079,0.0121,0.2146,0.517,"Filip Gustavsson, G, MIN",242,-36.87,-0.03,0.009,0.047,0.011,0.931,0.964,1092,2188,83500000,4.03,2.73,0.656,0.971,0.883,0.037,0.954
100.0,0.5478999999999999,227.66,10.0,2.27,0.72,37,76,24.0,0.715,0.819,0.135,2012,0.975,0.005,61700000,0.893,0.016,775000,-0.0225,0.0121,0.1981,0.5254,"Jeremy Swayman, G, BOS",239,11.34,0.01,0.013,0.055,0.013,0.92,0.958,877,1738,83500000,4.0,2.98,0.684,0.97,0.877,0.042,0.945
177.92,0.5423,417.88,2.0,2.53,0.36,62,156,21.9,0.355,0.781,0.111,3700,0.967,-0.004,61700000,0.894,0.018,775000,0.0212,0.0121,0.19879999999999998,0.5634,"Alexandar Georgiev, G, COL",469,51.12,0.03,0.016,0.057,0.006,0.918,0.954,1749,3225,83500000,3.65,2.88,0.67,0.971,0.875,0.041,0.947
114.05,0.5368999999999999,283.81,4.0,2.33,0.44,42,96,18.0,0.436,0.795,0.111,2475,0.962,-0.01,61700000,0.927,0.047,775000,-0.015300000000000001,0.0121,0.20739999999999997,0.5216,"Ilya Samsonov, G, TOR",233,-50.81,-0.04,0.014,0.053,0.008,0.919,0.958,1088,2174,83500000,3.01,2.76,0.684,0.972,0.88,0.04,0.95
