player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Ilya Bryzgalov,G,5666666,2010-11,0.0825,64300000,48300000,525000,ARI,68.0,168.0,182.33,14.3,0.212,0.957,0.953,0.004,0.921,2.49,2.7,0.21,2.39,4054.0,0.037,0.041,-0.004,508.0,485.74,22.26,0.01,1957.0,3728.0,0.182,0.5454,0.5566,-0.0111,0.976,0.972,0.005,0.895,0.878,0.018,0.624,0.667,-0.043,11.0
Henrik Karlsson,G,862500,2010-11,0.0825,64300000,48300000,525000,CGY,17.0,36.0,33.13,-2.9,-0.208,0.95,0.954,-0.004,0.908,2.59,2.38,-0.21,-0.48,834.0,0.031,0.037,-0.006,79.0,87.2,-8.2,-0.02,355.0,684.0,0.2018,0.5431,0.5329999999999999,0.0101,0.965,0.971,-0.007,0.901,0.875,0.026,0.567,0.639,-0.072,17.0
Pekka Rinne,G,7000000,2010-11,0.0825,64300000,48300000,525000,NSH,64.0,134.0,149.82,15.8,0.25,0.96,0.955,0.005,0.93,2.12,2.37,0.25,2.64,3789.0,0.035,0.04,-0.005,482.0,420.37,61.63,0.03,1771.0,3230.0,0.188,0.5663,0.5535,0.0128,0.977,0.972,0.006,0.887,0.88,0.007,0.683,0.674,0.008,10.0
Brian Elliott,G,1800000,2010-11,0.0825,64300000,48300000,525000,COL,55.0,166.0,142.56,-23.4,-0.471,0.941,0.949,-0.008,0.893,3.34,2.87,-0.47,-3.91,2983.0,0.043,0.04,0.003,358.0,345.17,12.83,0.01,1385.0,2636.0,0.1918,0.5535,0.5475,0.0060999999999999995,0.969,0.972,-0.002,0.839,0.877,-0.038,0.614,0.647,-0.033,29.0
Ben Bishop,G,650000,2010-11,0.0825,64300000,48300000,525000,STL,7.0,17.0,14.06,-2.9,-0.472,0.947,0.956,-0.009,0.899,2.77,2.29,-0.48,-0.49,368.0,0.043,0.036,0.007,46.0,37.09,8.91,0.05,151.0,305.0,0.23149999999999998,0.5217,0.5061,0.015600000000000001,0.972,0.971,0.0,0.784,0.874,-0.09,0.667,0.642,0.024,20.0
Ray Emery,G,1150000,2010-11,0.0825,64300000,48300000,525000,ANA,10.0,20.0,21.84,1.8,0.205,0.964,0.961,0.003,0.926,2.28,2.49,0.21,0.31,527.0,0.032,0.037,-0.005,62.0,63.86,-1.86,-0.01,252.0,535.0,0.21050000000000002,0.4901,0.517,-0.0269,0.973,0.97,0.003,0.897,0.884,0.012,0.688,0.677,0.011,9.0
Martin Biron,G,1300000,2011-12,-0.0669,60000000,44000000,525000,NYR,21.0,50.0,43.84,-6.2,-0.305,0.952,0.958,-0.006,0.904,2.46,2.16,-0.3,-1.03,1220.0,0.047,0.035,0.012,138.0,119.71,18.29,0.04,469.0,988.0,0.2373,0.5,0.493,0.006999999999999999,0.964,0.972,-0.008,0.882,0.874,0.008,0.595,0.661,-0.067,2.0
Tuukka Rask,G,3500000,2011-12,-0.0669,60000000,44000000,525000,BOS,23.0,44.0,49.22,5.2,0.242,0.961,0.956,0.005,0.929,2.05,2.29,0.24,0.87,1289.0,0.025,0.038,-0.013,148.0,139.84,8.16,0.01,577.0,1083.0,0.1984,0.551,0.5447,0.0063,0.968,0.973,-0.005,0.903,0.881,0.022,0.794,0.652,0.142,7.0
Cory Schneider,G,4000000,2011-12,-0.0669,60000000,44000000,525000,VAN,33.0,60.0,77.05,17.0,0.557,0.962,0.952,0.011,0.937,1.96,2.52,0.56,2.84,1832.0,0.038,0.042,-0.004,229.0,196.79,32.21,0.03,885.0,1534.0,0.1888,0.5928,0.5516,0.0412,0.978,0.97,0.008,0.921,0.879,0.042,0.683,0.703,-0.019,1.0
Ondrej Pavelec,G,3900000,2011-12,-0.0669,60000000,44000000,525000,WPG,68.0,191.0,188.06,-2.9,-0.044,0.949,0.95,-0.001,0.906,2.91,2.87,-0.04,-0.49,3932.0,0.041,0.039,0.002,452.0,460.78,-8.78,0.0,1845.0,3569.0,0.1991,0.5415,0.5428999999999999,-0.0014000000000000002,0.973,0.972,0.001,0.877,0.879,-0.002,0.639,0.664,-0.025,22.0
