player,pos,contract_aav,season
Dana Tyrell,F,600000,2010-11
Kyle Turris,F,1400000,2010-11
Shawn Thornton,F,1100000,2010-11
Daniel Carcillo,F,825000,2010-11
Mikhail Grabovski,F,5500000,2010-11
Jiri Tlusty,F,1600000,2010-11
Lee Stempniak,F,2500000,2011-12
Paul Gaustad,F,3250000,2011-12
Steve Downie,F,2650000,2011-12
Steve Bernier,F,775000,2011-12
Travis Moen,F,1850000,2011-12
Stephen Gionta,F,512500,2011-12
Blair Jones,F,650000,2011-12
Ryan Carter,F,775000,2011-12
Jared Boll,F,1050000,2011-12
Petteri Nokelainen,F,575000,2011-12
Matt Kassian,F,575000,2011-12
Blake Comeau,F,1250000,2011-12
Tommy Wingels,F,775000,2011-12
Ryan White,F,687500,2011-12
Andrew Desjardins,F,640000,2011-12
Matt Duchene,F,3500000,2011-12
Colin Fraser,F,825000,2011-12
Jarret Stoll,F,3250000,2011-12
Jesse Joensuu,F,600000,2011-12
Adam Hall,F,650000,2011-12
Chris Stewart,F,3000000,2011-12
Jim Slater,F,1600000,2011-12
Chris Kelly,F,3000000,2010-11
Gregory Campbell,F,1600000,2010-11
David Jones,F,4000000,2010-11
Cody McLeod,F,1150000,2010-11
Daniel Paille,F,1300000,2010-11
Patrick Kaleta,F,1250000,2011-12
Alexander Semin,F,7000000,2011-12
Jakub Voracek,F,4250000,2011-12
Dale Weise,F,615000,2011-12
Colin Wilson,F,2000000,2011-12
Sergei Kostitsyn,F,3000000,2011-12
Kris Versteeg,F,4400000,2011-12
Kaspars Daugavins,F,635000,2011-12
Sam Gagner,F,3200000,2011-12
Nikolai Kulemin,F,2800000,2011-12
Daniel Winnik,F,1800000,2011-12
T.J. Oshie,F,4175000,2011-12
Darren Helm,F,2125000,2011-12
Jim O'Brien,F,637500,2011-12
Dwight King,F,750000,2011-12
Ryan Garbutt,F,575000,2011-12
Jamie McGinn,F,1750000,2011-12
Teemu Selanne,F,4500000,2011-12
Nick Bonino,F,700000,2011-12
Kyle Wellwood,F,1600000,2011-12
Eric Fehr,F,1500000,2011-12
Aaron Volpatti,F,575000,2011-12
Matt Calvert,F,987500,2011-12
Zac Rinaldo,F,750000,2011-12
Jay Rosehill,F,675000,2011-12
Carl Söderberg,F,1008333,2011-12
Chris Porter,F,675000,2011-12
Chris Higgins,F,2500000,2011-12
Mark Letestu,F,1250000,2011-12
B.J. Crombeen,F,1150000,2011-12
Tom Sestito,F,750000,2011-12
Adam Cracknell,F,600000,2011-12
John Scott,D,750000,2011-12
Rob Klinkhammer,F,625000,2011-12
Teemu Selanne,F,2000000,2012-13
Adam Henrique,F,4000000,2012-13
Cam Atkinson,F,1150000,2012-13
Mikhail Grabovski,F,3000000,2012-13
Gustav Nyquist,F,950000,2012-13
Gabriel Landeskog,F,5571428,2012-13
Joakim Andersson,F,732500,2012-13
Magnus Pääjärvi,F,1200000,2012-13
Kyle Clifford,F,1075000,2012-13
Blake Comeau,F,1000000,2012-13
Alexander Steen,F,5800000,2012-13
Marc-Andre Cliche,F,700000,2012-13
Mark Arcobello,F,600000,2012-13
Eric Boulton,F,775000,2012-13
Michael Raffl,F,1100000,2012-13
John Mitchell,F,1800000,2012-13
Brad Boyes,F,2625000,2012-13
Brandon Bollig,F,1250000,2012-13
Tim Jackman,F,637500,2012-13
Colton Sceviour,F,650000,2012-13
Chris Thorburn,F,1200000,2013-14
Jeremy Morin,F,800000,2013-14
Ben Smith,F,1500000,2013-14
Patrik Berglund,F,3700000,2013-14
Brayden Schenn,F,2500000,2013-14
J.T. Brown,F,950000,2013-14
Marián Gáborík,F,4875000,2013-14
Ryan Callahan,F,5800000,2013-14
Nathan Gerbe,F,1750000,2013-14
Jamie McGinn,F,2950000,2013-14
Alex Killorn,F,2550000,2013-14
Mattias Tedenby,F,600000,2013-14
Mike Brown,F,1200000,2013-14
Dale Weise,F,1025000,2013-14
Lance Bouma,F,775000,2013-14
Devin Setoguchi,F,750000,2013-14
Clarke MacArthur,F,4650000,2013-14
Patrick Maroon,F,2000000,2013-14
Ryan White,F,575000,2013-14
Taylor Beck,F,550000,2013-14
Brandon Sutter,F,3300000,2013-14
TJ Galiardi,F,750000,2013-14
Nick Bjugstad,F,4100000,2013-14
Reilly Smith,F,3425000,2013-14
Mats Zuccarello,F,4500000,2013-14
Cam Atkinson,F,3500000,2013-14
Pierre-Édouard Bellemare,F,712500,2013-14
Jay McClement,F,1200000,2013-14
Jordin Tootoo,F,825000,2013-14
Drew Stafford,F,4350000,2014-15
Anders Lee,F,3750000,2014-15
Ryan White,F,800000,2014-15
Brian Flynn,F,950000,2014-15
Linden Vey,F,1000000,2014-15
Andrej Nestrasil,F,912500,2014-15
Jay Beagle,F,1750000,2014-15
Chris VandeVelde,F,712500,2014-15
Tyler Toffoli,F,3250000,2014-15
Melker Karlsson,F,1650000,2014-15
Joakim Andersson,F,815000,2014-15
Mika Zibanejad,F,2625000,2014-15
Mark Stone,F,3500000,2014-15
Chris Terry,F,875000,2014-15
Ronalds Kenins,F,600000,2014-15
Mikael Backlund,F,3575000,2014-15
Jean-Gabriel Pageau,F,900000,2014-15
Anthony Peluso,F,675000,2014-15
Torrey Mitchell,F,1200000,2013-14
Marcus Johansson,F,3750000,2014-15
Alex Galchenyuk,F,2800000,2014-15
Jakub Voracek,F,8250000,2014-15
Sven Baertschi,F,900000,2014-15
Sean Couturier,F,4333333,2014-15
Eric Fehr,F,2000000,2014-15
Derek Stepan,F,6500000,2014-15
Colin Wilson,F,3937500,2014-15
Alex Chiasson,F,1200000,2014-15
Paul Byron,F,900000,2014-15
Josh Jooris,F,975000,2014-15
Alexander Semin,F,1100000,2014-15
Tomas Jurco,F,450000,2014-15
Lance Bouma,F,2200000,2014-15
Teemu Pulkkinen,F,735000,2014-15
Craig Smith,F,4250000,2014-15
Stefan Matteau,F,612500,2014-15
Johan Larsson,F,800000,2014-15
Calle Järnkrok,F,735000,2014-15
Jesper Fast,F,950000,2014-15
Mikhail Grigorenko,F,675000,2014-15
J.T. Miller,F,874000,2014-15
Ryan Kesler,F,6875000,2014-15
Dainius Zubrus,F,600000,2014-15
Justin Abdelkader,F,4250000,2014-15
Boone Jenner,F,2900000,2014-15
Michael Raffl,F,2350000,2014-15
Chris Neil,F,1500000,2014-15
Shawn Thornton,F,772000,2014-15
Paul Byron,F,1166666,2014-15
Anton Rödin,F,950000,2014-15
