team,season,final_standing
VAN,2010-11,1
WSH,2010-11,2
PIT,2010-11,3
PHI,2010-11,4
SJS,2010-11,5
DET,2010-11,6
BOS,2010-11,7
TBL,2010-11,8
ANA,2010-11,9
NSH,2010-11,10
ARI,2010-11,11
LAK,2010-11,12
CHI,2010-11,13
MTL,2010-11,14
BUF,2010-11,15
DAL,2010-11,16
CGY,2010-11,17
NYR,2010-11,18
CAR,2010-11,19
STL,2010-11,20
MIN,2010-11,21
TOR,2010-11,22
NJD,2010-11,23
CBJ,2010-11,24
ATL,2010-11,25
OTT,2010-11,26
NYI,2010-11,27
FLA,2010-11,28
COL,2010-11,29
EDM,2010-11,30
VAN,2011-12,1
NYR,2011-12,2
STL,2011-12,3
PIT,2011-12,4
NSH,2011-12,5
PHI,2011-12,6
BOS,2011-12,7
DET,2011-12,8
NJD,2011-12,9
CHI,2011-12,10
ARI,2011-12,11
SJS,2011-12,12
LAK,2011-12,13
FLA,2011-12,14
WSH,2011-12,15
OTT,2011-12,16
CGY,2011-12,17
DAL,2011-12,18
BUF,2011-12,19
COL,2011-12,20
TBL,2011-12,21
WPG,2011-12,22
CAR,2011-12,23
MIN,2011-12,24
TOR,2011-12,25
ANA,2011-12,26
NYI,2011-12,27
MTL,2011-12,28
EDM,2011-12,29
CBJ,2011-12,30
CHI,2012-13,1
PIT,2012-13,2
ANA,2012-13,3
MTL,2012-13,4
BOS,2012-13,5
STL,2012-13,6
LAK,2012-13,7
VAN,2012-13,8
WSH,2012-13,9
TOR,2012-13,10
SJS,2012-13,11
NYR,2012-13,12
OTT,2012-13,13
DET,2012-13,14
MIN,2012-13,15
NYI,2012-13,16
CBJ,2012-13,17
WPG,2012-13,18
ARI,2012-13,19
PHI,2012-13,20
DAL,2012-13,21
BUF,2012-13,22
NJD,2012-13,23
EDM,2012-13,24
CGY,2012-13,25
CAR,2012-13,26
NSH,2012-13,27
TBL,2012-13,28
COL,2012-13,29
FLA,2012-13,30
BOS,2013-14,1
